,P1,P2
841,P49888,P08684
842,P49888,P11511
843,P49888,P42330
844,P49888,O14756
845,P49888,O14746
846,P19838,Q13547
847,P19838,O15111
848,P19838,P80511
849,P19838,Q04759
850,P19838,P28065
851,P19838,P09429
852,P19838,P07948
853,P19838,P53779
854,P19838,Q16539
855,P19838,Q9NPF7
856,P19838,O60603
857,P19838,P01138
858,P19838,P15153
859,P19838,Q05655
860,P19838,P27361
861,P19838,P29597
862,P19838,Q92769
863,P19838,P45983
864,P19838,P29460
865,P19838,Q02763
866,P19838,P27986
867,P19838,Q05513
868,P19838,P49721
869,P19838,Q04206
870,P19838,P04049
871,P19838,O60674
872,P19838,P05067
873,P19838,P04271
874,P19838,P35222
875,P19838,P42345
876,P19838,O14746
877,P19838,P17252
878,P19838,P03372
879,P19838,P01375
880,P19838,Q00653
881,P19838,P40306
882,P19838,P37231
883,P19838,P31749
884,P19838,O14920
885,P19838,P12931
886,P19838,P28074
887,P19838,P45984
888,P19838,P28062
889,P19838,P06239
890,P19838,P04150
891,P19838,P01583
892,P19838,P14778
893,P19838,P41743
894,P19838,P42336
895,P19838,O15379
896,P19838,P20618
897,P19838,P01584
898,P60568,P23458
899,P19838,P05231
900,P60568,P31749
901,P19838,O00206
902,P60568,P51692
903,P60568,P01375
904,P60568,P15391
905,P60568,Q9NZQ7
906,P60568,P16410
907,P60568,P05113
908,P60568,P36507
909,P60568,Q14289
910,P60568,O14746
911,P60568,Q16539
912,P60568,O75015
913,P60568,P42081
914,P60568,Q15759
915,P60568,P17405
916,P60568,P08887
917,P60568,P01584
918,P60568,P05771
919,P60568,P08637
920,P60568,Q15185
921,P60568,P05231
922,P60568,P26951
923,P60568,P42345
924,P60568,Q04206
925,P60568,P01579
926,P60568,P40933
927,P60568,P01589
928,P60568,P42336
929,P60568,Q02750
930,P60568,P00533
931,P60568,P33681
932,P60568,O60674
933,P60568,Q02156
934,P60568,Q05513
935,P60568,P01583
936,P60568,P31785
937,P60568,P45983
938,P60568,Q16552
939,P60568,P45984
940,P60568,P05412
941,P60568,P01374
942,P60568,P52333
943,P60568,P06239
944,P60568,P06241
945,P60568,P27986
946,P60568,P27361
947,P60568,P04234
948,P60568,P15336
949,P60568,Q16739
950,P60568,P08700
951,P60568,P07900
952,P24385,P49721
953,P24385,P15336
954,P24385,Q9UJU2
955,P24385,P56524
956,P24385,P10275
957,P24385,P38936
958,P24385,P05412
959,P24385,P07900
960,P24385,Q04206
961,P24385,P04637
962,P24385,P00519
963,P24385,P16220
964,P24385,P35222
965,P24385,O60674
966,P24385,P00533
967,P24385,P07948
968,P24385,P12004
969,P24385,P11309
970,P24385,P28065
971,P24385,Q13547
972,P24385,P01100
973,P24385,P51692
974,P24385,P11142
975,P24385,P28062
976,P24385,P20618
977,P24385,Q00534
978,P24385,P08758
979,P24385,P24941
980,P24385,P61024
981,P24385,P11802
982,P24385,O15379
983,P24385,Q16665
984,P24385,P03372
985,P24385,P01106
986,P24385,P49841
987,P24385,P40306
988,P24385,P42574
989,P24385,P31749
990,P24385,O15392
991,P24385,P28074
992,P24385,P04626
993,P24385,P06400
994,P24385,P12931
995,P24385,P06401
996,Q96RD7,P41231
997,Q96RD7,Q99572
998,Q96RD7,P29466
999,Q96RD7,P17302
1000,Q96PD7,P49327
1001,Q96RD7,Q99571
1002,P14920,Q9BYV1
1003,P14920,Q14032
1004,P14920,P35228
1005,P14920,P34896
1006,P14920,Q9BTZ2
1007,P14920,Q9UKG9
1008,P14920,P34897
1009,P14920,Q9P0Z9
1010,P14920,Q14749
1011,P14920,P04040
1012,P14920,P14735
1013,P14920,P21549
1014,P14920,Q9GZT4
1015,P14920,P13196
1016,P14920,P50440
1017,P14920,P22557
1018,P14920,P43155
1019,Q9NPF7,Q16552
1020,Q9NPF7,P05231
1021,Q9NPF7,P15692
