,G1,G2
919,AURKA,PRC1
920,AURKA,BUB1B
921,AURKA,CENPF
922,AURKA,CCN1
923,AURKA,ILK
924,AURKA,TP53
925,AURKA,PBK
926,AURKA,TOP2A
927,AURKA,BRCA1
928,AURKA,NEK2
929,AURKA,ARHGEF7
930,AURKA,HMMR
931,AURKA,NDEL1
932,AURKA,TYMS
933,GSS,LOC102724197
934,GSS,GPX2
935,GSS,GPX1
936,GSS,GPX3
937,GSS,GSR
938,GSS,GCLC
939,GSS,GPX4
940,GSS,GSTO1
941,GSS,PRDX6
942,BIRC7,CASP9
943,BIRC7,CASP3
944,BIRC7,CASP7
945,EEF1A2,EEF2
946,EEF1A2,EEF1B2
947,EEF1A2,TPPP
948,PROKR2,ANOS1
949,PROKR2,PROK2
950,OXT,POMC
951,OXT,AVPR1A
952,OXT,CRH
953,OXT,TRH
954,OXT,OXTR
955,RNF125,IFIH1
956,RNF125,DDX58
957,RNF125,UFD1
958,STS,SUMF2
959,STS,CYP3A5
960,STS,HSD3B1
961,STS,CYP17A1
962,STS,CYP3A4
963,STS,CYP1A2
964,STS,CYP1A1
965,STS,AKR1C3
966,STS,CYP11A1
967,STS,HSD3B2
968,F9,GP1BA
969,F9,GP1BB
970,F9,F11
971,F9,APP
972,F9,F8
973,F9,F3
974,F9,VWF
975,TIMP1,STAT3
976,TIMP1,MMP1
977,TIMP1,SAA1
978,TIMP1,IL6
979,TIMP1,LCN2
980,TIMP1,MMP9
981,TIMP1,POMC
982,TIMP1,IL17A
983,TIMP1,MMP2
984,TIMP1,MMP3
985,TIMP1,CD44
986,TIMP1,MMP7
987,TIMP1,FGF2
988,TIMP1,HPX
989,TIMP1,MMP10
990,TIMP1,MMP14
991,TIMP1,IL23A
992,TIMP1,IL10
993,MMP2,EDN1
994,MMP2,MMP1
995,MMP2,SAA1
996,MMP2,LAMC2
997,MMP2,ACAN
998,MMP2,IL6
999,MMP2,RECK
1000,MMP2,IBSP
1001,MMP2,HBEGF
1002,MMP2,STAT3
1003,MMP2,LCN2
1004,MMP2,SPARC
1005,MMP2,IGFBP3
1006,MMP2,POMC
1007,MMP2,IL17A
1008,MMP2,HSP90AA1
1009,MMP2,ANGPT1
1010,MMP2,A2M
1011,MMP2,MMP9
1012,MMP2,TGFB1
1013,MMP2,EPHB3
1014,MMP2,SRC
1015,MMP2,THBS2
1016,MMP2,IGF1
1017,MMP2,EPHB4
1018,MMP2,FGF2
1019,MMP2,HGF
1020,MMP2,VEGFA
1021,MMP2,IGF2
1022,MMP2,IL23A
1023,MMP2,IL10
1024,MMP2,EFNB2
1025,MMP2,COL1A1
1026,MMP2,ITGB2
1027,MMP2,ITGAM
1028,MMP2,THBS1
1029,MMP2,MMP14
1030,MMP2,EPHB2
1031,CCL22,CSF3
1032,CCL22,IL12A
1033,CCL22,IL18
1034,CCL22,CSF2
1035,CCL22,TNF
1036,CCL22,CCL5
1037,CCL22,CXCL10
1038,CCL22,CCR4
1039,CCL22,IL6
1040,CCL22,CXCL8
1041,CCL22,IL13
1042,CCL22,IL1B
1043,CCL22,CXCL1
1044,CCL22,ANXA1
1045,CCL22,CCL20
1046,CCL22,IL12B
1047,CCL22,CXCL2
1048,CCL22,CCL2
1049,CCL22,IL4
1050,CCL22,FN1
1051,CCL22,CCL3
1052,CCL22,CCL4
1053,CCL22,IL1A
1054,CCL22,IL10
1055,CCL17,CCR4
1056,CMC2,CHCHD10
1057,TSC2,RPTOR
1058,TSC2,RPS6KA3
1059,TSC2,MAPK3
